Time, throttle, brake_cmd, gearBox.motor_speed, car.x, velocity
0, 0, 0, 642.0997438200768, 0, 0
0.01, 0.00999966667999946, 0, 641.9271366409165, 4.078640332270977E-06, 0.004406968858839009
0.02, 0.019997333759930933, 0, 641.4090925878705, 3.2684948979148654E-05, 0.017675983997245213
0.03, 0.029991003238820143, 0, 640.5449978940832, 0.00011061474474983272, 0.03995232362229455
0.04, 0.03997868031116357, 0, 639.3340134956804, 0.00026320546360391044, 0.07148131867213987
0.05, 0.04995837495787998, 0, 637.7753677996693, 0.0005166203870644882, 0.11261323227096673
0.060000000000000005, 0.0599281035291435, 0, 635.8688021647586, 0.0008981493124169299, 0.16381023854103868
0.07, 0.06988589031642899, 0, 633.6152082859422, 0.0014365316787030937, 0.2256556369272593
0.08, 0.07982976911113136, 0, 631.0175130739823, 0.002162308574240065, 0.29886545968509326
0.09, 0.0897577847471601, 0, 628.0818872437304, 0.003108210495841298, 0.3843026301735691
0.09999999999999999, 0.0996679946249558, 0, 624.8193798251028, 0.004309588126680178, 0.4829937918281154
0.10999999999999999, 0.10955847021442952, 0, 621.2481131854162, 0.0058048936100170605, 0.5961488256352143
0.11999999999999998, 0.11942729853438587, 0, 617.3962122689369, 0.007636219587037846, 0.7251828653944977
0.12999999999999998, 0.1292725836060583, 0, 613.3056863733696, 0.009849902258785, 0.871740239811424
0.13999999999999999, 0.139092447878458, 0, 609.0375271535617, 0.012497192321140526, 1.0377191213351529
0.15, 0.14888503362331798, 0, 604.6783210616715, 0.015634992880299868, 1.2252946063126597
0.16, 0.1586485042974989, 0, 600.3486740157227, 0.019326655016689214, 1.4369363114709146
0.17, 0.16838104587081473, 0, 596.2136658063708, 0.02364280763184142, 1.6754141529389728
0.18000000000000002, 0.17808086811733023, 0, 592.4953155996861, 0.028662176207534182, 1.943782645309746
0.19000000000000003, 0.18774620586828544, 0, 589.4865339313236, 0.03447231268620399, 2.245329949548835
0.20000000000000004, 0.19737532022490403, 0, 587.565120567586, 0.04117011454240715, 2.583473782666396
0.21000000000000005, 0.20696649972945264, 0, 587.2049367238524, 0.0488619576573261, 2.961584182330481
0.22000000000000006, 0.21651806149302888, 0, 588.9795223947629, 0.057663215216326655, 3.3827168027436376
0.23000000000000007, 0.22602835227867102, 0, 593.5516976453578, 0.06769690692090881, 3.8492552848776747
0.24000000000000007, 0.23549574953849803, 0, 601.6423604019916, 0.07909125732888196, 4.362491708071015
0.25000000000000006, 0.2449186624037092, 0, 613.9746159622874, 0.09197608135177684, 4.92221757673318
0.26000000000000006, 0.2542955326263912, 0, 631.1967702011859, 0.10647817528142767, 5.526437381284799
0.2700000000000001, 0.2636248354722034, 0, 653.7980808576303, 0.12271622212284607, 6.171322245798832
0.2800000000000001, 0.2729050805631328, 0, 682.0391296967134, 0.1407959866801196, 6.851467917599404
0.2900000000000001, 0.2821348126696342, 0, 715.9177589316289, 0.16080661971602095, 7.56041993617023
0.3000000000000001, 0.291312612451591, 0, 755.1800068013405, 0.18281864412117624, 8.29133201453241
0.3100000000000001, 0.3004370971476542, 0, 799.3694673210316, 0.20688375767564754, 9.037589173725394
0.3200000000000001, 0.30950692121263856, 0, 847.8972751143027, 0.23303616186157933, 9.793268566633403
0.3300000000000001, 0.318520776902771, 0, 900.1133039092098, 0.26129488189260525, 10.553391212430334
0.34000000000000014, 0.32747739480870547, 0, 955.3650317985179, 0.29166651700656887, 11.313987889155756
0.35000000000000014, 0.3363755443363324, 0, 1013.0385301773408, 0.32414798141200124, 12.072037059332661
0.36000000000000015, 0.34521403413552104, 0, 1072.5821735988357, 0.35872896611373234, 12.825335051523636
0.37000000000000016, 0.35399171247704614, 0, 1133.516752616707, 0.3953940010778795, 13.572344210516748
0.38000000000000017, 0.3627074675780513, 0, 1195.4363501745802, 0.43412409906348576, 14.31204684017722
0.3900000000000002, 0.37136022787650785, 0, 1258.0037413895, 0.47489801857495473, 15.04381834764022
0.4000000000000002, 0.37994896225522506, 0, 1320.9430653272095, 0.5176932065828699, 15.767323698883908
0.4100000000000002, 0.38847268021606124, 0, 1384.0315590825867, 0.5624864852844353, 16.482436278546462
0.4200000000000002, 0.3969304320050777, 0, 1447.0914068038005, 0.6092545411299874, 17.18917606851065
0.4300000000000002, 0.40532130868946314, 0, 1509.9822522274565, 0.657974264718848, 17.88766349018673
0.4400000000000002, 0.4136444421871353, 0, 1572.594607268524, 0.708622980197764, 18.578085469783545
0.45000000000000023, 0.4218990052500081, 0, 1634.8442058106818, 0.761178593924287, 19.26067080561593
0.46000000000000024, 0.43008421140197967, 0, 1696.6672545030367, 0.8156196848506667, 19.93567249547253
0.47000000000000025, 0.4381993148327679, 0, 1758.0164874395846, 0.8719255533300989, 20.603355210358586
0.48000000000000026, 0.44624361024877984, 0, 1818.8579167612177, 0.9300762406417702, 21.26398654079102
0.49000000000000027, 0.4542164326822593, 0, 1879.1681725161231, 0.9900525282187645, 21.91783098995056
0.5000000000000002, 0.4621171572600099, 0, 1938.932334211747, 1.051835923101919, 22.565145955208365
0.5100000000000002, 0.4699451989330378, 0, 1998.142168640099, 1.1154086343287923, 23.20617914073021
0.5200000000000002, 0.47770001216849817, 0, 2056.7947011930482, 1.1807535436370786, 23.84116699347543
0.5300000000000002, 0.4853810906053717, 0, 2114.8910597268573, 1.2478541728904986, 24.470333865295903
0.5400000000000003, 0.4929879666753245, 0, 2172.435540537637, 1.3166946499277798, 25.09389168488461
0.5500000000000003, 0.5005202111902354, 0, 2229.4348550208897, 1.3872596740213274, 25.71203998264606
