Time, InitialDerivativeIntegrator1_init_cond, InitialDerivativeIntegrator1_t_o, x1, x2
0, 0, 2, 0, 2
0.01, 0, 2, 0.009950166666666666, 1.99
0.02, 0, 2, 0.01980132751663889, 1.980149335
0.03, 0, 2, 0.029554467674293747, 1.9703966857585276
0.04, 0, 2, 0.03921056246185658, 1.9607410770024492
0.05, 0, 2, 0.04877057749693403, 1.951181543162762
0.060000000000000005, 0, 2, 0.05823546878907662, 1.9417171282780352
0.07, 0, 2, 0.06760618283538052, 1.9323468858988142
0.08, 0, 2, 0.076883656715138, 1.9230698789929732
0.09, 0, 2, 0.08606881818354625, 1.9138851798520133
0.09999999999999999, 0, 2, 0.09516258576448361, 1.9047918699982893
0.10999999999999999, 0, 2, 0.1041658688423627, 1.8957890400931612
0.11999999999999998, 0, 2, 0.11307956775306972, 1.8868757898460609
0.12999999999999998, 0, 2, 0.12190457387399872, 1.878051227924461
0.13999999999999999, 0, 2, 0.13064176971319014, 1.8693144718647412
0.15, 0, 2, 0.13929202899758228, 1.8606646479839417
0.16, 0, 2, 0.14785621676038482, 1.8521008912923935
0.17, 0, 2, 0.15633518942758287, 1.8436223454072191
0.18000000000000002, 0, 2, 0.1647297949035802, 1.835228162466693
0.19000000000000003, 0, 2, 0.1730408726559904, 1.8269175030454556
0.20000000000000004, 0, 2, 0.18126925379958453, 1.8186895360705695
0.21000000000000005, 0, 2, 0.18941576117940304, 1.8105434387384114
0.22000000000000006, 0, 2, 0.19748120945304112, 1.802478396432391
0.23000000000000007, 0, 2, 0.20546640517211512, 1.7944936026414893
0.24000000000000007, 0, 2, 0.2133721468629184, 1.786588258879606
0.25000000000000006, 0, 2, 0.22119922510627454, 1.7787615746057108
0.26000000000000006, 0, 2, 0.22894842261659626, 1.7710127671447882
0.2700000000000001, 0, 2, 0.23662051432015735, 1.7633410616095697
0.2800000000000001, 0, 2, 0.24421626743258606, 1.7557456908230442
0.2900000000000001, 0, 2, 0.2517364415355873, 1.7482258952417398
0.3000000000000001, 0, 2, 0.25918178865290126, 1.7407809228797686
0.3100000000000001, 0, 2, 0.2665530533255068, 1.7334100292336276
0.3200000000000001, 0, 2, 0.2738509726860758, 1.7261124772077483
0.3300000000000001, 0, 2, 0.2810762765326872, 1.718887537040785
0.34000000000000014, 0, 2, 0.28822968740180754, 1.7117344862326398
0.35000000000000014, 0, 2, 0.295311920640545, 1.7046526094722105
0.36000000000000015, 0, 2, 0.3023236844781848, 1.6976411985658606
0.37000000000000016, 0, 2, 0.3092656800970128, 1.690699552366597
0.38000000000000017, 0, 2, 0.31613860170243413, 1.6838269767039573
0.3900000000000002, 0, 2, 0.32294313659239465, 1.6770227843145902
0.4000000000000002, 0, 2, 0.32967996522611087, 1.6702862947735293
0.4100000000000002, 0, 2, 0.33634976129211686, 1.6636168344261502
0.4200000000000002, 0, 2, 0.34295319177563344, 1.6570137363208044
0.4300000000000002, 0, 2, 0.34949091702526724, 1.650476340142123
0.4400000000000002, 0, 2, 0.3559635908190463, 1.6440039921449854
0.45000000000000023, 0, 2, 0.36237186042979835, 1.6375960450891442
0.46000000000000024, 0, 2, 0.36871636668987845, 1.6312518581744997
0.47000000000000025, 0, 2, 0.37499774405525305, 1.6249707969770204
0.48000000000000026, 0, 2, 0.38121662066894596, 1.6187522333852995
0.49000000000000027, 0, 2, 0.38737361842385315, 1.6125955455377436
0.5000000000000002, 0, 2, 0.39346935302493274, 1.6065001177603855
0.5100000000000002, 0, 2, 0.39950443405077585, 1.6004653405053166
0.5200000000000002, 0, 2, 0.40547946501456494, 1.594490610289732
0.5300000000000002, 0, 2, 0.41139504342442584, 1.5885753296355807
0.5400000000000003, 0, 2, 0.4172517608431789, 1.5827189070098184
0.5500000000000003, 0, 2, 0.4230502029474958, 1.576920756765253
0.5600000000000003, 0, 2, 0.42879094958646774, 1.5711802990819792
0.5700000000000003, 0, 2, 0.4344745748395908, 1.565496959909397
0.5800000000000003, 0, 2, 0.4401016470741744, 1.5598701709088052
0.5900000000000003, 0, 2, 0.44567272900217847, 1.5542993693965674
0.6000000000000003, 0, 2, 0.4511883777364853, 1.5487839982878433
0.6100000000000003, 0, 2, 0.45664914484661095, 1.5433235060408796
0.6200000000000003, 0, 2, 0.462055576413863, 1.5379173466018552
0.6300000000000003, 0, 2, 0.46740821308594904, 1.5325649793502756
0.6400000000000003, 0, 2, 0.4727075901310417, 1.5272658690449106
0.6500000000000004, 0, 2, 0.4779542374913061, 1.5220194857702687
0.6600000000000004, 0, 2, 0.4831486798358947, 1.516825304883607
0.6700000000000004, 0, 2, 0.48829143661341423, 1.5116828069624644
0.6800000000000004, 0, 2, 0.4933830221038713, 1.5065914777527198
0.6900000000000004, 0, 2, 0.49842394547010077, 1.5015508081171673
0.7000000000000004, 0, 2, 0.5034147108086824, 1.4965602939846003
0.7100000000000004, 0, 2, 0.5083558172003508, 1.4916194362994044
0.7200000000000004, 0, 2, 0.5132477587599045, 1.4867277409716526
0.7300000000000004, 0, 2, 0.518091024685617, 1.4818847188276945
0.7400000000000004, 0, 2, 0.5228860993081577, 1.477089885561239
0.7500000000000004, 0, 2, 0.527633462139025, 1.4723427616849238
0.7600000000000005, 0, 2, 0.5323335879184979, 1.4676428724823651
0.7700000000000005, 0, 2, 0.5369869466631109, 1.462989747960687
0.7800000000000005, 0, 2, 0.5415940037126551, 1.45838292280352
0.7900000000000005, 0, 2, 0.5461552197767136, 1.4538219363244713
0.8000000000000005, 0, 2, 0.550671050980732, 1.4493063324210533
