Time, udpl.x, udpl.YGV
0, 0, 0
0.1001932, 0, 0
0.2003261, 0, 0
0.3003526, 0, 0
0.4004358, 0, 0
0.5005321, 0, 0
0.6006087, 0, 0
0.7006418, 0, 0
0.800727, 0, 0
0.9007662, 0, 0
1.0008016, 0, 0
1.1008777, 0, 0
1.2009909, 0, 0
1.3011087, 0, 0
1.4012008, 0, 0
1.5012335, 0, 0
1.6014241, 0, 0
1.7015009, 0, 0
1.8175406, 0, 0
1.9175895, 0, 0
2.0176253, 0, 0
2.1176678, 0, 0
2.2177144, 0, 0
2.3177624, 0, 0
2.4177982, 0, 0
2.5178184, 0, 0
2.6178404, 0, 0
2.7178571, 0, 0
2.8178756, 0, 0
2.9178961, 0, 0
3.0179436, 0, 0
3.1179623, 0, 0
3.2179796, 0, 0
3.3179961, 0, 0
3.418014, 0, 0
3.5180845, 0, 0
3.6181078, 0, 0
3.7181272, 0, 0
3.818522, 0, 0
3.9188146, 0, 0
4.0188672, 0, 0
4.1188855, 0, 0
4.2189035, 0, 0
4.3189231, 0, 0
4.4189439, 0, 0
4.5189627, 0, 0
4.6189797, 0, 0
4.7189993, 0, 0
4.8190245, 0, 0
4.9190422, 0, 0
5.0190598, 0, 0
5.1190781, 0, 0
5.2190961, 0, 0
5.3191128, 0, 0
5.4191357, 0, 0
5.519155, 0, 0
5.6272056, 0, 0
5.7272264, 0, 0
5.8272585, 0, 0
5.9272783, 0, 0
6.0272999, 0, 0
6.1273195, 0, 0
6.2273595, 0, 0
6.327378, 0, 0
6.4273961, 0, 0
6.5274209, 0, 0
6.6274391, 0, 0
6.7274574, 0, 0
6.8274736, 0, 0
6.9274923, 0, 0
7.0275128, 0, 0
7.1275381, 0, 0
7.2275576, 0, 0
7.3275783, 0, 0
7.4275966, 0, 0
7.5276155, 0, 0
7.6276416, 0, 0
7.7276692, 0, 0
7.8276879, 0, 0
7.927706, 0, 0
8.0277236, 0, 0
8.1277433, 0, 0
8.2277801, 0, 0
8.3278075, 0, 0
8.4278259, 0, 0
8.5278456, 0, 0
8.6278599, 0, 0
8.7278782, 0, 0
8.8279, 0, 0
8.9279201, 0, 0
9.0279394, 0, 0
9.1279574, 0, 0
9.2279774, 0, 0
9.3279981, 0, 0
9.4280196, 0, 0
9.5280398, 0, 0
9.6280973, 0, 0
9.7281231, 0, 0
9.8281418, 0, 0
9.9316577, 0, 0
10.0316765, 0, 0
10.1316939, 0, 0
10.2320865, 0, 0
10.3321043, 0, 0
10.4321227, 0, 0
10.5321392, 0, 0
10.6321561, 0, 0
10.7321762, 0, 0
10.8322001, 0, 0
10.9323042, 0, 0
11.0323247, 0, 0
11.1334875, 0, 0
11.2335064, 0, 0
11.3335346, 0, 0
11.4335559, 0, 0
11.533577, 0, 0
11.6336456, 0, 0
11.733662, 0, 0
11.8337731, 0, 0
11.9337906, 0, 0
12.0338085, 0, 0
12.1338325, 0, 0
12.2338568, 0, 0
12.3338719, 0, 0
12.4338928, 0, 0
12.5339096, 0, 0
12.6339864, 0, 0
12.7340019, 0, 0
12.8340225, 0, 0
12.9340428, 0, 0
13.0340801, 0, 0
13.1341005, 0, 0
13.2341198, 0, 0
13.3341428, 0, 0
13.4341668, 0, 0
13.5341873, 0, 0
13.6342055, 0, 0
13.7342243, 0, 0
13.834244, 0, 0
13.9342651, 0, 0
14.0342839, 0, 0
14.1343036, 0, 0
14.2343276, 0, 0
14.3343548, 0, 0
14.4343765, 0, 0
14.534395, 0, 0
14.6344202, 0, 0
14.7344413, 0, 0
14.8344634, 0, 0
14.9344806, 0, 0
15.0345017, 0, 0
15.1345254, 0, 0
15.2345437, 0, 0
15.3345602, 0, 0
15.4345828, 0, 0
15.534617, 0, 0
15.6346401, 0, 0
15.7346612, 0, 0
15.834679, 0, 0
15.9346995, 0, 0
16.0347169, 0, 0
16.1347343, 0, 0
16.2347521, 0, 0
16.3347674, 0, 0
16.434786, 0, 0
16.5348124, 0, 0
16.6348386, 0, 0
16.7348593, 0, 0
16.8556844, 0, 0
16.9557285, 0, 0
17.055749, 0, 0
17.1557687, 0, 0
17.2557924, 0, 0
17.3558114, 0, 0
17.4558298, 0, 0
