Time, ../model.aircraft.z, ../model.aircraft.theta
0, -0.13178977193133742, 0.1699
0.01, -0.13178984166359478, 0.16989961643699367
0.02, -0.1317899911171661, 0.16989851957088759
0.03, -0.13179018833375272, 0.16989680529535148
0.04, -0.1317904041206295, 0.16989457823932566
0.05, -0.13179061261451397, 0.16989194801304436
0.060000000000000005, -0.13179079169693333, 0.16988902565448227
0.07, -0.13179092326310965, 0.16988592035854924
0.08, -0.1317909933503256, 0.169882736555869
0.09, -0.13179099213515189, 0.16987957139200713
0.09999999999999999, -0.13179091381175934, 0.16987651264205586
0.10999999999999999, -0.13179075636577978, 0.16987363707998984
0.11999999999999998, -0.13179052125980695, 0.16987100930757276
0.12999999999999998, -0.13179021304765523, 0.16986868103415687
0.13999999999999999, -0.13178983893494248, 0.16986669078674654
0.15, -0.13178940830347544, 0.1698650640193987
0.16, -0.1317889322163419, 0.16986381358254607
0.17, -0.1317884229196141, 0.16986294050623021
0.18000000000000002, -0.13178789335521002, 0.1698624350465333
0.19000000000000003, -0.13178735669781222, 0.16986227794166311
0.20000000000000004, -0.13178682592688412, 0.16986244182308283
0.21000000000000005, -0.13178631344281874, 0.1698628927276572
0.22000000000000006, -0.13178583073417852, 0.16986359165884204
0.23000000000000007, -0.13178538810089985, 0.169864496148283
0.24000000000000007, -0.13178499443630295, 0.16986556177360157
0.25000000000000006, -0.1317846570688199, 0.1698667435934076
0.26000000000000006, -0.13178438166257475, 0.16986799746646322
0.2700000000000001, -0.1317841721743579, 0.16986928122820935
0.2800000000000001, -0.13178403086315915, 0.16987055570433762
0.2900000000000001, -0.1317839583472805, 0.16987178554755036
0.3000000000000001, -0.13178395370315096, 0.16987293988991325
0.3100000000000001, -0.1317840145993157, 0.16987399280911475
0.3200000000000001, -0.13178413745866496, 0.16987492361236486
0.3300000000000001, -0.13178431764179563, 0.16987571694648632
0.34000000000000014, -0.13178454964444225, 0.16987636274689125
0.35000000000000014, -0.13178482730215385, 0.16987685604154085
0.36000000000000015, -0.13178514399580485, 0.1698771966286246
0.37000000000000016, -0.1317854928520833, 0.16987738864856464
0.38000000000000017, -0.13178586693377098, 0.16987744007206715
0.3900000000000002, -0.13178625941538633, 0.16987736212634227
0.4000000000000002, -0.13178666374057446, 0.1698771686813517
0.4100000000000002, -0.13178707375847068, 0.16987687561708584
0.4200000000000002, -0.13178748383710703, 0.16987650019149997
0.4300000000000002, -0.13178788895275437, 0.16987606042693332
0.4400000000000002, -0.13178828475486992, 0.16987557453069285
0.45000000000000023, -0.13178866760703845, 0.16987506036308878
0.46000000000000024, -0.1317890346049357, 0.16987453496365926
0.47000000000000025, -0.13178938357289727, 0.16987401414369757
0.48000000000000026, -0.13178971304113415, 0.16987351215058183
0.49000000000000027, -0.1317900222059969, 0.16987304140687506
0.5000000000000002, -0.13179031087594795, 0.16987261232477815
0.5100000000000002, -0.13179057940606334, 0.16987223319433278
0.5200000000000002, -0.1317908286239498, 0.1698719101418308
0.5300000000000002, -0.13179105974994293, 0.1698716471532221
0.5400000000000003, -0.13179127431435078, 0.16987144615594743
0.5500000000000003, -0.13179147407433825, 0.16987130715156784
0.5600000000000003, -0.13179166093282005, 0.16987122839081809
0.5700000000000003, -0.13179183686145668, 0.1698712065822734
0.5800000000000003, -0.1317920038295399, 0.16987123712566823
0.5900000000000003, -0.13179216374022398, 0.16987131436102412
0.6000000000000003, -0.13179231837521777, 0.16987143182509967
0.6100000000000003, -0.1317924693487106, 0.1698715825072413
0.6200000000000003, -0.1317926180709735, 0.16987175909745014
0.6300000000000003, -0.13179276572176107, 0.16987195422035442
0.6400000000000003, -0.131792913233352, 0.1698721606497494
0.6500000000000004, -0.13179306128280577, 0.169872371499402
0.6600000000000004, -0.13179321029279192, 0.16987258038688066
0.6700000000000004, -0.13179336044016274, 0.16987278156822835
0.6800000000000004, -0.13179351167129702, 0.16987297004232013
0.6900000000000004, -0.1317936637231389, 0.16987314162471032
0.7000000000000004, -0.13179381614879226, 0.16987329299165477
0.7100000000000004, -0.1317939683465066, 0.1698734216957753
0.7200000000000004, -0.131794119590899, 0.16987352615550275
0.7300000000000004, -0.1317942690653001, 0.16987360562098236
0.7400000000000004, -0.1317944158941805, 0.169873660119547
0.7500000000000004, -0.1317945591747075, 0.16987369038415975
0.7600000000000005, -0.13179469800659271, 0.16987369776839978
0.7700000000000005, -0.13179483151951696, 0.1698736841516208
0.7800000000000005, -0.13179495889755202, 0.16987365183785988
0.7900000000000005, -0.13179507940013724, 0.16987360345192556
0.8000000000000005, -0.13179519237930704, 0.16987354183586192
0.8100000000000005, -0.131795297293, 0.16987346994868435
0.8200000000000005, -0.13179539371440618, 0.16987339077192662
0.8300000000000005, -0.13179548133742686, 0.1698733072231431
0.8400000000000005, -0.1317955599784238, 0.1698732220790904
0.8500000000000005, -0.13179562957452562, 0.1698731379098819
0.8600000000000005, -0.13179569017883166, 0.16987305702498004
0.8700000000000006, -0.1317957419529117, 0.1698729814314782
0.8800000000000006, -0.1317957851570408, 0.1698729128047349
0.8900000000000006, -0.1317958201386332, 0.16987285247106787
0.9000000000000006, -0.1317958473193487, 0.1698728014019007
0.9100000000000006, -0.13179586718134045, 0.16987276021848635
0.9200000000000006, -0.13179588025309466, 0.1698727292061119
0.9300000000000006, -0.1317958870952851, 0.16987270833652016
0.9400000000000006, -0.13179588828702618, 0.16987269729716664
0.9500000000000006, -0.1317958844128633, 0.1698726955258623
0.9600000000000006, -0.13179587605078835, 0.16987270224933182
0.9700000000000006, -0.13179586376151345, 0.16987271652424082
