Time, model.cp.theta, model.cp.x, model.cp.y, model.cp.z, model.cp.beta
0, 1.5707963267948966, 0.479425538604203, 0, 0.8775825618903728, 0.5
0.01, 1.5373792500724497, 0.47915787546113325, 0.01601801837618313, 0.8775825621962149, 0.4999999993620653
0.02, 1.5039621732719841, 0.4783551849055443, 0.03201815100469454, 0.877582563113137, 0.499999997449522
0.03, 1.4705450963156355, 0.4770183632245689, 0.04798253210924843, 0.8775825646393268, 0.4999999942661501
0.04, 1.4371280191258473, 0.4751489031180389, 0.06389333583402992, 0.8775825667717678, 0.49999998981824123
0.05, 1.4037109416255247, 0.47274889203170506, 0.0797327961482027, 0.8775825695062456, 0.4999999841145863
0.060000000000000005, 1.3702938637381863, 0.46982100982635194, 0.09548322668361327, 0.8775825728373556, 0.499999977166458
0.07, 1.3368767853881158, 0.4663685257854093, 0.11112704048354, 0.8775825767585143, 0.4999999689875887
0.08, 1.3034597065005118, 0.46239529496440335, 0.12664676964043434, 0.8775825812619716, 0.4999999595941431
0.09, 1.270042627001634, 0.4579057538863226, 0.14202508480072631, 0.8775825863388271, 0.4999999490046866
0.09999999999999999, 1.2366255468189518, 0.45290491558770735, 0.1572448145149136, 0.8775825919790468, 0.49999993724014813
0.10999999999999999, 1.2032084658812852, 0.4473983640209935, 0.17228896441132802, 0.8775825981714831, 0.49999992432377927
0.11999999999999998, 1.169791384118946, 0.44139224781936187, 0.18714073617216836, 0.8775826049038973, 0.49999991028110796
0.12999999999999998, 1.136374301463877, 0.43489327343105644, 0.2017835462906106, 0.8775826121629834, 0.4999998951398883
0.13999999999999999, 1.1029572178497842, 0.42790869763083794, 0.21620104458805062, 0.8775826199343945, 0.49999987893004544
0.15, 1.06954013321227, 0.4204463194169351, 0.23037713247080255, 0.8775826282027709, 0.49999986168361665
0.16, 1.0361230474889587, 0.4125144713025431, 0.24429598090586627, 0.8775826369517711, 0.4999998434346879
0.17, 1.0027059606196211, 0.40412201001159276, 0.25794204809569243, 0.8775826461641033, 0.4999998242193264
0.18000000000000002, 0.9692888725462928, 0.395278306589182, 0.27130009683220857, 0.8775826558215601, 0.4999998040755097
0.19000000000000003, 0.9358717832133888, 0.38599323593771157, 0.28435521151072896, 0.8775826659050546, 0.49999978304305004
0.20000000000000004, 0.9024546925678136, 0.3762771657904111, 0.297092814784749, 0.8775826763946576, 0.4999997611635162
0.21000000000000005, 0.8690376005590666, 0.3661409451345685, 0.30949868384302887, 0.8775826872696372, 0.499999738480151
0.22000000000000006, 0.8356205071393406, 0.35559589209738907, 0.32155896629078967, 0.8775826985085, 0.499999715037786
0.23000000000000007, 0.8022034122636172, 0.3446537813080142, 0.3332601956172908, 0.8775827100890334, 0.4999996908827529
0.24000000000000007, 0.7687863158897561, 0.3333268307498102, 0.3445893062325156, 0.8775827219883496, 0.4999996660627919
0.25000000000000006, 0.7353692179785772, 0.3216276881176096, 0.3555336480561769, 0.8775827341829305, 0.49999964062695734
0.26000000000000006, 0.7019521184939398, 0.3095694166951403, 0.36608100064275173, 0.8775827466486749, 0.4999996146255208
0.2700000000000001, 0.6685350174028118, 0.2971654807684113, 0.3762195868267745, 0.8775827593609449, 0.4999995881098717
0.2800000000000001, 0.635117914675337, 0.28442973059134424, 0.38593808587315054, 0.8775827722946161, 0.49999956113241584
0.2900000000000001, 0.6017008102848928, 0.2713763869204393, 0.39522564611780947, 0.8775827854241263, 0.49999953374647166
0.3000000000000001, 0.5682837042081437, 0.2580200251357441, 0.40407189708458213, 0.8775827987235261, 0.49999950600616494
0.3100000000000001, 0.5348665964250867, 0.2443755589658573, 0.412466961064773, 0.8775828121665304, 0.4999994779663219
0.3200000000000001, 0.5014494869190914, 0.23045822383514092, 0.4204014641464988, 0.8775828257265704, 0.49999944968236065
0.3300000000000001, 0.46803237567693234, 0.21628355985173547, 0.4278665466814784, 0.877582839376846, 0.499999421210182
0.34000000000000014, 0.4346152626888156, 0.20186739445537538, 0.43485387317758734, 0.8775828530903784, 0.49999939260605847
0.35000000000000014, 0.401198147948398, 0.18722582474437982, 0.4413556416061325, 0.8775828668400643, 0.49999936392652355
0.36000000000000015, 0.36778103145279967, 0.172375199501554, 0.44736459211345436, 0.8775828805987285, 0.49999933522825973
0.37000000000000016, 0.3343639132026096, 0.15733210093907032, 0.45287401512713094, 0.8775828943391782, 0.4999993065679865
0.38000000000000017, 0.30094679320188433, 0.14211332618271452, 0.4578777588477325, 0.877582908034257, 0.4999992780023484
0.3900000000000002, 0.2675296714581408, 0.12673586851617138, 0.4623702361177624, 0.8775829216568976, 0.4999992495878027
0.4000000000000002, 0.23411254798234035, 0.11121689840629273, 0.46634643066011716, 0.8775829351801759, 0.4999992213805082
0.4100000000000002, 0.2006954227888676, 0.09557374433053534, 0.4698019026790971, 0.8775829485773647, 0.4999991934362141
0.4200000000000002, 0.16727829589550222, 0.07982387342797723, 0.4727327938177185, 0.8775829618219856, 0.49999916581014975
0.4300000000000002, 0.13386116732338346, 0.06398487199551697, 0.47513583146579025, 0.8775829748878617, 0.49999913855691563
0.4400000000000002, 0.10044403709696864, 0.0480744258510343, 0.4770083324139464, 0.8775829877491698, 0.49999911173037526
0.45000000000000023, 0.06702690524398454, 0.03211030058543813, 0.4783482058495559, 0.8775830003804903, 0.4999990853835489
0.46000000000000024, 0.03360977179537235, 0.016110321725652625, 0.47915395569116487, 0.8775830127568589, 0.4999990595685087
0.47000000000000025, 0.00019263678522746813, 9.235483069144459E-05, 0.4794246822588656, 0.8775830248538147, 0.4999990343362758
