Time, Scope1(0), Scope1(1), Scope1(2)
0, 1, 1, 3.33
0.1, 1, 1, 3.33
0.2, 1, 1, 3.33
0.30000000000000004, 1, 0, 0.21926441351888526
0.4, 1, 0, 0.21926441351888526
0.5, 1, 0, 0.21926441351888526
0.6, 0, 0, 0.20936191425722855
0.7, 0, 0, 0.2093619142572285
0.7999999999999999, 0, 1, 0.21926441351888748
0.8999999999999999, 0, 1, 0.21926441351888704
0.9999999999999999, 0, 1, 0.21926441351888748
1.0999999999999999, 1, 1, 3.330000000000082
1.2, 1, 1, 3.3300000000000027
1.3, 1, 0, 0.21926441351888504
1.4000000000000001, 1, 0, 0.21926441351888504
1.5000000000000002, 0, 0, 0.2093619142572286
1.6000000000000003, 0, 0, 0.20936191425722894
1.7000000000000004, 0, 0, 0.20936191425722894
1.8000000000000005, 0, 1, 0.21926441351888748
1.9000000000000006, 0, 1, 0.21926441351888704
