Time, I1.Io, Voltmeter1_Voltmeter
0, 2.7755575615628914E-17, -3.55271367904018E-15
0.01, 9.94966875, 0.0994966874999957
0.02, 19.797366690557368, 0.19797366690557083
0.03, 29.54116893471584, 0.2954116893471559
0.04, 39.17920076107251, 0.39179200761072136
0.05, 48.70963767422211, 0.4870963767422176
0.060000000000000005, 58.13070544960701, 0.581307054496064
0.07, 67.44068016291567, 0.6744068016291553
0.08, 76.6378882041746, 0.7663788820417432
0.09, 85.7207062766796, 0.8572070627667949
0.09999999999999999, 94.68756138092152, 0.946875613809213
0.10999999999999999, 103.53693078365637, 1.0353693078365624
0.11999999999999998, 112.26734197228058, 1.122673419722803
0.12999999999999998, 120.87737259466797, 1.2087737259466758
0.13999999999999999, 129.36565038463334, 1.2936565038463326
0.15, 137.73085307318775, 1.377308530731876
0.16, 145.97170828575122, 1.459717082857512
0.17, 154.0869934254963, 1.5408699342549623
0.18000000000000002, 162.07553554299307, 1.6207553554299285
0.19000000000000003, 169.93621119233183, 1.6993621119233195
0.20000000000000004, 177.66794627390095, 1.7766794627390063
0.21000000000000005, 185.26971586399816, 1.8526971586399819
0.22000000000000006, 192.74054403146044, 1.9274054403146055
0.23000000000000007, 200.07950364149292, 2.000795036414929
0.24000000000000007, 207.28571614688326, 2.0728571614688316
0.25000000000000006, 214.35835136679225, 2.1435835136679224
0.26000000000000006, 221.29662725330763, 2.2129662725330776
0.2700000000000001, 228.09980964595206, 2.2809980964595185
0.2800000000000001, 234.76721201434032, 2.347672120143404
0.2900000000000001, 241.29819518917952, 2.4129819518917976
0.3000000000000001, 247.69216708181034, 2.476921670818103
0.3100000000000001, 253.94858239248106, 2.5394858239248093
0.3200000000000001, 260.06694230756375, 2.600669423075637
0.3300000000000001, 266.0467941859017, 2.6604679418590185
0.34000000000000014, 271.88773123450005, 2.718877312345003
0.35000000000000014, 277.58939217375405, 2.775893921737541
0.36000000000000015, 283.15146089242535, 2.8315146089242536
0.37000000000000016, 288.573666092567, 2.885736660925671
0.38000000000000017, 293.8557809246056, 2.93855780924606
0.3900000000000002, 298.99762261278784, 2.9899762261278817
0.4000000000000002, 303.99905207119536, 3.0399905207119535
0.4100000000000002, 308.8599735105397, 3.088599735105398
0.4200000000000002, 313.5803340359487, 3.135803340359489
0.4300000000000002, 318.16012323594873, 3.1816012323594873
0.4400000000000002, 322.5993727628529, 3.225993727628528
0.45000000000000023, 326.8981559047736, 3.2689815590477367
0.46000000000000024, 331.05658714946344, 3.310565871494639
0.47000000000000025, 335.07482174019674, 3.350748217401969
0.48000000000000026, 338.9530552239046, 3.3895305522390435
0.49000000000000027, 342.69152299177745, 3.4269152299177796
0.5000000000000002, 346.2904998125466, 3.462904998125466
0.5100000000000002, 349.7502993586486, 3.4975029935864876
0.5200000000000002, 353.071273725501, 3.530712737255011
0.5300000000000002, 356.2538129440843, 3.562538129440847
0.5400000000000003, 359.29834448705697, 3.592983444870571
0.5500000000000003, 362.2053327686008, 3.622053327686012
0.5600000000000003, 364.9752786382239, 3.6497527863822423
0.5700000000000003, 367.6087188687193, 3.6760871886871955
0.5800000000000003, 370.10622563849574, 3.7010622563849607
0.5900000000000003, 372.4684060084944, 3.724684060084949
0.6000000000000003, 374.69590139389425, 3.7469590139389424
0.6100000000000003, 376.78938703082054, 3.7678938703082068
0.6200000000000003, 378.74957143826555, 3.787495714382658
0.6300000000000003, 380.57719587542715, 3.805771958754275
0.6400000000000003, 382.27303379467367, 3.822730337946744
0.6500000000000004, 383.837890290343, 3.838378902903436
0.6600000000000004, 385.2726015435819, 3.852726015435823
0.6700000000000004, 386.578034263428, 3.865780342634279
0.6800000000000004, 387.75508512434135, 3.877550851243418
0.6900000000000004, 388.80468020039143, 3.8880468020039145
0.7000000000000004, 389.72777439629044, 3.8972777439629085
0.7100000000000004, 390.525350875492, 3.905253508754921
0.7200000000000004, 391.19842048553573, 3.91198420485536
0.7300000000000004, 391.74802118085404, 3.91748021180854
0.7400000000000004, 392.17521744322426, 3.9217521744322457
0.7500000000000004, 392.4810997000736, 3.924810997000743
0.7600000000000005, 392.66678374082744, 3.9266678374082784
0.7700000000000005, 392.7334101314882, 3.9273341013148846
0.7800000000000005, 392.6821436276523, 3.926821436276524
0.7900000000000005, 392.51417258614106, 3.925141725861411
0.8000000000000005, 392.23070837544356, 3.922307083754437
0.8100000000000005, 391.8329847851569, 3.91832984785157
0.8200000000000005, 391.3222574346073, 3.913222574346078
0.8300000000000005, 390.6998031808446, 3.906998031808446
0.8400000000000005, 389.9669195261804, 3.8996691952618088
0.8500000000000005, 389.1249240254672, 3.891249240254674
0.8600000000000005, 388.17515369328316, 3.881751536932838
0.8700000000000006, 387.1189644112103, 3.871189644112106
0.8800000000000006, 385.9577303353749, 3.8595773033537495
0.8900000000000006, 384.69284330443384, 3.8469284330443396
0.9000000000000006, 383.32571224816775, 3.8332571224816836
0.9100000000000006, 381.857762596861, 3.818577625968613
0.9200000000000006, 380.29043569163014, 3.802904356916302
0.9300000000000006, 378.6251881958724, 3.7862518819587248
0.9400000000000006, 376.86349150799606, 3.768634915079961
0.9500000000000006, 375.0068311755956, 3.7500683117559594
0.9600000000000006, 373.0567063112335, 3.730567063112336
0.9700000000000006, 371.014629009984, 3.7101462900998405
0.9800000000000006, 368.88212376889805, 3.6888212376889844
0.9900000000000007, 366.66072690854526, 3.666607269085457
1.0000000000000007, 364.35198599677756, 3.6435198599677814
1.0100000000000007, 361.95745927487314, 3.6195745927487377
1.0200000000000007, 359.4787150862021, 3.594787150862028
