Time, aircraft.y(0), aircraft.y(1)
0, 0.1, 0
0.01, 0.0998591004892751, 0.000141149295330475
0.02, 0.09942834527173812, 0.0003985163160953033
0.03, 0.09871240820961638, 0.0006416812597911322
0.04, 0.09772635054899276, 0.0008180030292191495
0.05, 0.09648931866337017, 0.0009100429629026159
0.060000000000000005, 0.09502167493450768, 0.0009160360693172917
0.07, 0.09334370501079867, 0.0008409487550559676
0.08, 0.09147504855536527, 0.0006923984143271584
0.09, 0.08943446172696767, 0.00047880508000254073
0.09999999999999999, 0.08723973145321459, 0.00020856711612154592
0.10999999999999999, 0.08490765885036625, -0.00011029391902439345
0.11999999999999998, 0.08245407383423124, -0.0004702740699851998
0.12999999999999998, 0.0798938634933896, -0.0008644304454901383
0.13999999999999999, 0.07724100622350422, -0.0012863810383130518
0.15, 0.07450860795088293, -0.0017302855188265805
0.16, 0.07170893876132642, -0.002190818262491027
0.17, 0.06885346916288893, -0.0026631387395155376
0.18000000000000002, 0.065952905630117, -0.0031428615806230404
0.19000000000000003, 0.06301722526975276, -0.0036260273423409095
0.20000000000000004, 0.060055709536463484, -0.004109074404486865
0.21000000000000005, 0.05707697696819709, -0.004588812163010382
0.22000000000000006, 0.054089014930089795, -0.005062395559230745
0.23000000000000007, 0.05109921036529944, -0.005527300931944388
0.24000000000000007, 0.04811437955610848, -0.005981303155202375
0.25000000000000006, 0.04514079690159164, -0.006422454014965361
0.26000000000000006, 0.04218422272018278, -0.0068490617746197295
0.2700000000000001, 0.03924993008709321, -0.0072596718789584205
0.2800000000000001, 0.036342730717942195, -0.0076530487470861585
0.2900000000000001, 0.03346699991124492, -0.008028158606073806
0.3000000000000001, 0.03062670056359439, -0.008384153318735077
0.3100000000000001, 0.027825406272480493, -0.00872035516048893
0.3200000000000001, 0.0250663235427094, -0.009036242501843521
0.3300000000000001, 0.022352313113318013, -0.009331436354570385
0.34000000000000014, 0.019685910422717057, -0.009605687741124481
0.35000000000000014, 0.017069345230541592, -0.00985886584830719
0.36000000000000015, 0.014504560415338697, -0.010090946927568033
0.37000000000000016, 0.011993229967779854, -0.010302003905699988
0.38000000000000017, 0.009536776199552382, -0.010492196671005831
0.3900000000000002, 0.007136386188463333, -0.010661763001301434
0.4000000000000002, 0.0047930274805843935, -0.0108110101013783
0.4100000000000002, 0.002507463070482021, -0.010940306718773475
0.4200000000000002, 0.0002802656807180397, -0.01105007580789126
0.4300000000000002, -0.0018881686381227677, -0.011140787713688672
0.4400000000000002, -0.0039976075656147775, -0.011212953847275988
0.45000000000000023, -0.006047970206672729, -0.011267120826894992
0.46000000000000024, -0.008039315402628453, -0.0113038650588211
0.47000000000000025, -0.009971830637256063, -0.011323787733791429
0.48000000000000026, -0.011845821516999767, -0.01132751021558885
0.49000000000000027, -0.01366170180489979, -0.011315669799412488
0.5000000000000002, -0.015419983987989076, -0.01128891581863756
0.5100000000000002, -0.017121270358242364, -0.011247906079512178
0.5200000000000002, -0.01876624458749604, -0.011193303604255581
0.5300000000000002, -0.02035566377711836, -0.011125773663911343
0.5400000000000003, -0.021890350963591786, -0.011045981083170422
0.5500000000000003, -0.02337118806156935, -0.010954587800212709
0.5600000000000003, -0.024799109226382097, -0.010852250665422008
0.5700000000000003, -0.026175094618402384, -0.010739619463608562
0.5800000000000003, -0.027500164552105584, -0.01061733514512534
0.5900000000000003, -0.028775374013118374, -0.010486028251989897
0.6000000000000003, -0.030001807526993347, -0.010346317525822851
0.6100000000000003, -0.031180574363905318, -0.010198808685087385
0.6200000000000003, -0.03231280406392271, -0.010044093359762129
0.6300000000000003, -0.03339964226796642, -0.009882748172202692
0.6400000000000003, -0.03444224684002712, -0.009715333953545539
0.6500000000000004, -0.03544178426666885, -0.009542395085582384
0.6600000000000004, -0.03639942632030105, -0.009364458958584282
0.6700000000000004, -0.03731634697315163, -0.009182035536082805
0.6800000000000004, -0.03819371954931971, -0.00899561701812146
0.6900000000000004, -0.03903271410272724, -0.008805677594974802
0.7000000000000004, -0.03983449500922337, -0.008612673283795629
0.7100000000000004, -0.04060021876152338, -0.008417041841093311
0.7200000000000004, -0.0413310319560848, -0.008219202744368923
0.7300000000000004, -0.04202806946143666, -0.008019557236636284
0.7400000000000004, -0.042692452757882846, -0.007818488427942766
0.7500000000000004, -0.04332528843889743, -0.007616361448370388
0.7600000000000005, -0.04392766686491811, -0.007413523647346994
0.7700000000000005, -0.044500660960623016, -0.007210304834429703
0.7800000000000005, -0.04504532514714635, -0.0070070175570389704
0.7900000000000005, -0.04556269440104944, -0.006803957410922062
0.8000000000000005, -0.046053783432215036, -0.006601403379410174
0.8100000000000005, -0.04651958597317502, -0.0063996181978042375
0.8200000000000005, -0.04696107417271413, -0.006198848739481402
0.8300000000000005, -0.047379198086915375, -0.005999326420557599
0.8400000000000005, -0.047774885261126186, -0.005801267620172204
0.8500000000000005, -0.04814904039662841, -0.005604874113678982
0.8600000000000005, -0.048502545096089505, -0.005410333516233842
0.8700000000000006, -0.04883625768215742, -0.005217819734464863
0.8800000000000006, -0.04915101308383717, -0.005027493424094126
0.8900000000000006, -0.0494476227855535, -0.004839502451554482
0.9000000000000006, -0.04972687483406134, -0.004653982357808064
0.9100000000000006, -0.04998953389861363, -0.0044710568227274376
0.9200000000000006, -0.05023634138003579, -0.004290838128545302
0.9300000000000006, -0.05046801556458611, -0.00411342762101493
0.9400000000000006, -0.05068525181870369, -0.003938916167051573
0.9500000000000006, -0.05088872282095863, -0.0037673846077451146
0.9600000000000006, -0.05107907882772461, -0.0035989042057468228
